"Sex","Age recode with <1 year olds and 90+","Race recode (White, Black, Other)","Age-Adjusted Rate","Count","Population"
1,17,3,2335.5,12701,543831
1,17,4,~,642,0
1,18,0,3224.2,76974,2387396
1,18,1,3364.1,66451,1975314
1,18,2,2888.1,2747,95116
1,18,3,2367.8,7505,316966
1,18,4,~,271,0
1,19,0,2904.8,34383,1183659
1,19,1,3032.1,29502,972991
1,19,2,2480.7,1159,46720
1,19,3,2194.6,3598,163948
1,19,4,~,124,0
1,20,0,~,0,0
1,20,1,~,0,0
1,20,2,~,0,0
1,20,3,~,0,0
1,20,4,~,0,0
2,0,0,26.3,1005,3826340
2,0,1,26.9,724,2692199
2,0,2,22.9,116,507108
2,0,3,23.0,144,627033
2,0,4,~,21,0
2,1,0,20.6,3162,15339960
2,1,1,21.9,2376,10829867
2,1,2,15.9,322,2029037
2,1,3,16.0,397,2481056
2,1,4,~,67,0
2,2,0,11.4,2213,19420757
2,2,1,11.7,1614,13776440
2,2,2,9.9,258,2613018
2,2,3,9.3,283,3031299
2,2,4,~,58,0
2,3,0,13.9,2789,20085306
2,3,1,14.5,2079,14346606
2,3,2,10.9,296,2707358
2,3,3,11.4,347,3031342
2,3,4,~,67,0
2,4,0,22.7,4568,20089644
2,4,1,24.3,3520,14461899
2,4,2,15.3,403,2632111
2,4,3,18.4,550,2995634
2,4,4,~,95,0
2,5,0,40.8,8312,20392584
2,5,1,44.6,6509,14581022
2,5,2,25.2,660,2619816
2,5,3,29.6,944,3191746
2,5,4,~,199,0
2,6,0,72.6,15494,21354961
2,6,1,79.9,11858,14833713
2,6,2,49.7,1370,2758346
2,6,3,51.4,1933,3762902
2,6,4,~,333,0
2,7,0,121.1,26350,21765701
2,7,1,129.4,19524,15090781
2,7,2,93.2,2557,2744739
2,7,3,96.2,3780,3930181
2,7,4,~,489,0
2,8,0,189.4,40958,21624441
2,8,1,196.5,29820,15175391
2,8,2,164.5,4360,2650454
2,8,3,160.5,6096,3798596
2,8,4,~,682,0
2,9,0,301.7,64896,21511275
2,9,1,309.3,47617,15396949
2,9,2,267.6,6799,2540709
2,9,3,270.1,9651,3573617
2,9,4,~,829,0
2,10,0,450.3,95507,21209163
2,10,1,460.7,71487,15516366
2,10,2,405.6,9548,2354266
2,10,3,402.1,13423,3338531
2,10,4,~,1049,0
2,11,0,608.8,126008,20696869
2,11,1,620.5,96009,15473476
2,11,2,581.7,12458,2141522
2,11,3,529.3,16311,3081871
2,11,4,~,1230,0
2,12,0,781.0,149515,19144129
2,12,1,798.2,116383,14580793
2,12,2,778.7,14229,1827244
2,12,3,646.3,17682,2736092
2,12,4,~,1221,0
2,13,0,1036.6,170761,16472477
2,13,1,1066.6,135529,12707105
2,13,2,1067.1,15447,1447575
2,13,3,801.1,18567,2317797
2,13,4,~,1218,0
2,14,0,1347.7,180881,13421393
2,14,1,1397.7,145920,10440221
2,14,2,1395.3,15113,1083098
2,14,3,986.1,18717,1898074
2,14,4,~,1131,0
2,15,0,1638.0,174172,10633341
2,15,1,1709.1,143155,8376234
2,15,2,1620.2,12584,776686
2,15,3,1184.7,17539,1480421
2,15,4,~,894,0
2,16,0,1897.0,156242,8236148
2,16,1,1984.4,131189,6611000
2,16,2,1877.4,9896,527120
2,16,3,1320.5,14500,1098028
2,16,4,~,657,0
2,17,0,2030.0,126295,6221538
2,17,1,2113.6,107225,5073130
2,17,2,1939.0,6862,353890
2,17,3,1488.4,11826,794518
2,17,4,~,382,0
2,18,0,2022.0,83862,4147504
2,18,1,2098.3,71763,3420048
2,18,2,1978.1,4110,207770
2,18,3,1487.4,7730,519686
2,18,4,~,259,0
2,19,0,1751.5,49242,2811343
2,19,1,1792.3,42082,2347922
2,19,2,1731.7,2378,137322
2,19,3,1426.9,4653,326099
2,19,4,~,129,0
2,20,0,~,0,0
2,20,1,~,0,0
2,20,2,~,0,0
2,20,3,~,0,0
2,20,4,~,0,0
