group_col,group,label,auroc,n,n_positive
sex,Female,osa,0.7465,10161,1508
sex,Female,depression,0.5269,10161,1299
sex,Female,copd,0.7769,10161,789
sex,Female,metabolic_syndrome,0.9999,10161,3969
sex,Female,hypothyroidism,0.5172,10161,941
sex,Female,prediabetes,0.9398,10161,3414
sex,Female,colorectal_cancer,0.7164,10161,396
sex,Male,hypertension,1.0,9839,5023
sex,Male,diabetes,0.9579,9839,1720
sex,Male,cvd_risk,0.7603,9839,771
sex,Male,ckd,0.9089,9839,1218
sex,Male,osa,0.6873,9839,3141
sex,Male,depression,0.5366,9839,829
sex,Male,copd,0.7663,9839,765
sex,Male,metabolic_syndrome,1.0,9839,3284
sex,Male,hypothyroidism,0.5133,9839,486
sex,Male,prediabetes,0.9295,9839,3513
sex,Male,colorectal_cancer,0.688,9839,293
age_group,18-34,hypertension,1.0,5467,1730
age_group,18-34,diabetes,0.9596,5467,804
age_group,18-34,cvd_risk,0.8327,5467,188
age_group,18-34,ckd,0.9082,5467,205
age_group,18-34,osa,0.7363,5467,963
age_group,18-34,depression,0.5337,5467,723
age_group,18-34,copd,0.7903,5467,323
age_group,18-34,metabolic_syndrome,0.9999,5467,1492
age_group,18-34,hypothyroidism,0.5692,5467,350
age_group,18-34,prediabetes,0.9363,5467,1899
age_group,18-34,colorectal_cancer,0.4444,5467,58
age_group,35-49,hypertension,1.0,4684,1944
age_group,35-49,diabetes,0.962,4684,643
age_group,35-49,cvd_risk,0.8065,4684,215
age_group,35-49,ckd,0.8857,4684,166
age_group,35-49,osa,0.7603,4684,866
age_group,35-49,depression,0.5589,4684,476
age_group,35-49,copd,0.791,4684,259
age_group,35-49,metabolic_syndrome,1.0,4684,1524
age_group,35-49,hypothyroidism,0.5623,4684,329
age_group,35-49,prediabetes,0.936,4684,1594
age_group,35-49,colorectal_cancer,0.5599,4684,42
age_group,50-64,hypertension,1.0,4609,2462
age_group,50-64,diabetes,0.9529,4609,672
age_group,50-64,cvd_risk,0.7321,4609,352
age_group,50-64,ckd,0.8921,4609,394
age_group,50-64,osa,0.7254,4609,1260
age_group,50-64,depression,0.5487,4609,447
age_group,50-64,copd,0.7741,4609,352
age_group,50-64,metabolic_syndrome,0.9997,4609,1850
age_group,50-64,hypothyroidism,0.5863,4609,304
age_group,50-64,prediabetes,0.9323,4609,1605
age_group,50-64,colorectal_cancer,0.4788,4609,192
age_group,65-80,hypertension,1.0,5240,3420
age_group,65-80,diabetes,0.9491,5240,715
age_group,65-80,cvd_risk,0.6797,5240,619
age_group,65-80,ckd,0.8527,5240,1692
age_group,65-80,osa,0.7211,5240,1560
age_group,65-80,depression,0.5625,5240,482
age_group,65-80,copd,0.6547,5240,620
age_group,65-80,metabolic_syndrome,1.0,5240,2387
age_group,65-80,hypothyroidism,0.5701,5240,444
age_group,65-80,prediabetes,0.9353,5240,1829
age_group,65-80,colorectal_cancer,0.5276,5240,397
